ab abhaasi
aa afari
af afrikaans
ay aimara
ak akan
sq albania
am amhara
ar arabia
an aragonia
hy armenia
as assami
av avaari
ae avesta
az azeri
bm bambara
eu baski
ba baskiiri
bn bengali
dz bhutani
bh bihari
bi bislama
bs bosnia
br bretoni
bg bulgaria
my burma
cr cree
en englanti
iu eskimo
es espanja
eo esperanto
ee ewe
fj fidzi
fy friisi
ff fulani
fo fääri
gd gaeli
gl galicia
lg ganda
ka georgia
gn guarani
gu gudzarati
ht haiti
ha hausa
he heprea
hz herero
hi hindi
ho hiri-motu
nl hollanti
io ido
ig igbo
ga iiri
id indonesia
ia interlingua
ie interlingue
ik inupiak
is islanti
it italia
jv jaava
ja japani
yi jiddis
yo joruba
kl kalaallisut
kn kannada
kr kanuri
ks kasmiri
ca katalaani
kk kazakki
qu ketsua
km khmer
zh kiina
ki kikuju
ky kirgiisi
cu kirkkoslaavi
kv komi
kg kongo
ko korea
kw korni
co korsika
el kreikka
hr kroatia
kj kuanjama
ku kurdi
cy kymri
lo lao
la latina
lv latvia
lb letzeburg
lt liettua
li limburgi
ln lingala
lu luba (Katanga)
mk makedonia
mg malagassi
ms malaiji
ml malajalam
dv malediivi
mt malta
gv manx
mi maori
mr marathi
mh marshall
mo moldavia
mn mongoli
na nauru
nv navajo
nr ndebele (eteläinen)
nd ndebele (pohjoinen)
ng ndonga
ne nepali
ny njandza
no norja
nb norjan bokmål
nn norjan nynorsk
oj ojibwa
oc oksitaani
or orija
om oromo
os osseetti
pi paali
pa pandzabi
ps pastu
fa persia
ii pohjois-ji
se pohjoissaame
pt portugali
pl puola
fr ranska
rm retoromaani
ro romania
rw ruanda
rn rundi
sv ruotsi
de saksa
sm samoa
sg sango
sa sanskrit
sc sardi
sr serbia
sh serbokroatia
sd sindhi
si sinhala
sk slovakki
sl sloveeni
so somali
sn sona
st sotho (eteläinen)
su sunda
fi suomi
sw swahili
ss swazi
tg tadzikki
tl tagalog
ty tahiti
ta tamili
da tanska
tt tataari
te telugu
th thai
ti tigrinja
bo tiibet
to Tonga-saarten tonga
ch tsamorro
cs tsekki
ce tsetseeni
ts tsonga
za tsuang
ch tsuvassi
tn tswana
tr turkki
tk turkmeeni
tw twi
ug uiguuri
uk ukraina
hu unkari
ur urdu
uz uzbekki
be valkovenäjä
wa valloni
ve venda
ru venäjä
vi vietnam
et viro
vo volapük
wo wolof
xh xhosa
zu zulu
